datetime,timestamp,open,high,low,close,volume,MA,STD,Upper_Band,Lower_Band,BB_Width,BB_Position
2025-08-28 12:45:53.800,1756385153800,3029.8,3052.88,3010.18,3052.88,240.42,,,,,,
2025-08-28 12:46:53.800,1756385213800,3069.91,3100.93,3052.08,3061.85,265.06,,,,,,
2025-08-28 12:47:53.800,1756385273800,3076.67,3135.53,3023.6,3068.02,650.67,,,,,,
2025-08-28 12:48:53.800,1756385333800,3041.75,3064.34,3009.21,3009.21,806.66,,,,,,
2025-08-28 12:49:53.800,1756385393800,3013.28,3056.21,2996.87,3014.95,646.79,,,,,,
2025-08-28 12:50:53.800,1756385453800,2978.75,3006.98,2969.29,2969.29,496.14,,,,,,
2025-08-28 12:51:53.800,1756385513800,2968.49,2999.88,2944.07,2950.37,380.54,,,,,,
2025-08-28 12:52:53.800,1756385573800,3114.31,3151.48,3107.5,3128.04,929.69,,,,,,
2025-08-28 12:53:53.800,1756385633800,3120.8,3130.2,3074.66,3109.57,845.86,,,,,,
2025-08-28 12:54:53.800,1756385693800,3025.82,3052.46,2991.61,3027.85,821.98,,,,,,
2025-08-28 12:55:53.800,1756385753800,2986.86,3005.13,2956.06,3000.77,794.14,,,,,,
2025-08-28 12:56:53.800,1756385813800,2988.33,3006.97,2943.27,3004.76,157.2,,,,,,
2025-08-28 12:57:53.800,1756385873800,2938.28,2973.43,2914.4,2958.2,898.49,,,,,,
2025-08-28 12:58:53.800,1756385933800,2896.8,2908.33,2868.62,2908.33,605.15,,,,,,
2025-08-28 12:59:53.800,1756385993800,2906.24,2951.71,2830.11,2918.18,122.88,,,,,,
2025-08-28 13:00:53.800,1756386053800,2835.38,2864.94,2809.76,2835.65,324.36,,,,,,
2025-08-28 13:01:53.800,1756386113800,2919.47,2934.6,2895.86,2912.14,936.73,,,,,,
2025-08-28 13:02:53.800,1756386173800,2941.35,2975.41,2933.78,2945.97,267.91,,,,,,
2025-08-28 13:03:53.800,1756386233800,2951.69,2980.28,2930.97,2946.86,305.14,,,,,,
2025-08-28 13:04:53.800,1756386293800,3021.93,3030.75,2941.69,3027.15,299.9,2992.502,72.94300973687375,3138.3880194737476,2846.6159805262523,291.7720389474953,0.6187502411985237
2025-08-28 13:05:53.800,1756386353800,3006.4,3030.52,3001.55,3012.47,566.91,2990.4815000000003,71.73215547584289,3133.9458109516863,2847.0171890483143,286.928621903372,0.5766340417841078
2025-08-28 13:06:53.800,1756386413800,2955.65,2997.15,2930.92,2930.92,370.79,2983.935,70.84509294747805,3125.625185894956,2842.244814105044,283.3803717899118,0.3129192940741029
2025-08-28 13:07:53.800,1756386473800,2934.45,3006.74,2928.81,2938.88,230.41,2977.478,68.62841421666899,3114.734828433338,2840.221171566662,274.5136568666758,0.35939497349399263
2025-08-28 13:08:53.800,1756386533800,2958.85,2959.07,2936.15,2941.84,785.46,2974.1095,68.64229818221995,3111.39409636444,2836.82490363556,274.5691927288799,0.3824722479631427
2025-08-28 13:09:53.800,1756386593800,2988.38,3015.56,2946.46,2967.44,670.18,2971.734,67.97337430742124,3107.6807486148423,2835.7872513851576,271.8934972296847,0.48420705149718063
2025-08-28 13:10:53.800,1756386653800,2915.17,2928.63,2900.79,2928.63,267.87,2969.701,68.65494676086198,3107.010893521724,2832.391106478276,274.619787043448,0.3504441342622482
2025-08-28 13:11:53.800,1756386713800,2934.46,2949.24,2888.96,2935.47,680.66,2968.956,68.9559378306554,3106.867875661311,2831.0441243386895,275.8237513226213,0.37859638686143116
2025-08-28 13:12:53.800,1756386773800,2966.96,2994.1,2948.55,2964.57,223.77,2960.7825000000003,57.91050344462971,3076.6035068892597,2844.961493110741,231.64201377851896,0.5163506608245138
2025-08-28 13:13:53.800,1756386833800,2918.13,2927.53,2894.39,2900.17,835.5,2950.3125,47.60729641943916,3045.527092838878,2855.097907161122,190.42918567775632,0.2366868958582278
2025-08-28 13:14:53.800,1756386893800,2979.28,3054.93,2969.61,2976.21,907.49,2947.7305,44.47821518510552,3036.686930370211,2858.774069629789,177.91286074042182,0.6600755554234612
2025-08-28 13:15:53.800,1756386953800,2991.68,3015.07,2954.68,2971.93,753.36,2946.2884999999997,43.114755597858526,3032.5180111957166,2860.0589888042828,172.4590223914338,0.6486816963498792
2025-08-28 13:16:53.800,1756387013800,3008.64,3045.26,3001.84,3021.39,108.28,2947.12,44.44171345410476,3036.0034269082093,2858.2365730917904,177.76685381641892,0.9177944223319559
2025-08-28 13:17:53.800,1756387073800,3039.1,3060.81,2982.4,3046.3,686.77,2951.525,49.65781726767093,3050.840634535342,2852.2093654646583,198.63126907068363,0.9771403840060755
2025-08-28 13:18:53.800,1756387133800,3091.05,3120.56,3067.83,3073.58,771.84,2959.7875,55.496948410652955,3070.781396821306,2848.793603178694,221.9877936426119,1.0126070138036494
2025-08-28 13:19:53.800,1756387193800,3132.8,3162.51,3107.05,3162.51,184.31,2972.004,70.67296247691279,3113.3499249538254,2830.6580750461744,282.691849907651,1.1738998668063274
2025-08-28 13:20:53.800,1756387253800,3075.87,3099.61,3048.84,3072.18,668.02,2983.8305,66.31034709090112,3116.4511941818023,2851.2098058181978,265.24138836360453,0.8330909272684338
